,Day,Month,Year,Hour,Demand (kWh)
298,9,May,2018,6,3.4310228655180004
299,9,May,2018,7,1.7715437665782503
300,9,May,2018,8,2.214429708222812
301,9,May,2018,9,2.214429708222812
302,9,May,2018,10,2.214429708222812
303,9,May,2018,11,2.214429708222812
304,9,May,2018,12,2.5206548603526295
305,9,May,2018,13,5.558654548291466
306,9,May,2018,14,3.7691589908999226
307,9,May,2018,15,13.711092178298744
308,9,May,2018,16,36.84009211741394
309,9,May,2018,17,61.9353790621966
310,9,May,2018,18,54.12291833046006
311,9,May,2018,19,49.35339916796674
312,9,May,2018,20,43.60998026698823
313,9,May,2018,21,40.69293570487419
314,9,May,2018,22,38.57416402489997
315,9,May,2018,23,23.27700948138318
316,10,May,2018,0,21.683039306805107
317,10,May,2018,1,23.980303157259645
318,10,May,2018,2,29.22914134480716
319,10,May,2018,3,31.68787918680311
320,10,May,2018,4,30.29000619681975
321,10,May,2018,5,11.799300417934687
322,10,May,2018,6,12.653352548893245
323,10,May,2018,7,12.877507422654892
324,10,May,2018,8,9.970241188888659
325,10,May,2018,9,6.929948981096455
326,10,May,2018,10,6.929948981096455
327,10,May,2018,11,6.929948981096455
328,10,May,2018,12,3.6293190598366216
329,10,May,2018,13,1.556506828107463
330,10,May,2018,14,3.2456184557227017
331,10,May,2018,15,9.221600408961304
332,10,May,2018,16,34.608064271351594
333,10,May,2018,17,62.28986324813011
334,10,May,2018,18,57.91119744366298
335,10,May,2018,19,46.54424517675351
336,10,May,2018,20,39.40137597954968
337,10,May,2018,21,40.960308982245834
338,10,May,2018,22,27.176284351779188
339,10,May,2018,23,22.618998079743275
340,11,May,2018,0,18.43844770833067
341,11,May,2018,1,11.247952766967122
342,11,May,2018,2,13.669763985501083
343,11,May,2018,3,18.998439259778387
344,11,May,2018,4,23.76444728682008
345,11,May,2018,5,24.894672412837654
346,11,May,2018,6,10.483731667041921
347,11,May,2018,7,4.26324858618146
348,11,May,2018,8,1.8823098106712557
349,11,May,2018,9,1.4403098106712557
350,11,May,2018,10,1.4403098106712557
351,11,May,2018,11,1.4403098106712557
352,11,May,2018,12,2.241030740903814
353,11,May,2018,13,8.19746772514987
354,11,May,2018,14,7.385151622463378
355,11,May,2018,15,20.0481078127196
356,11,May,2018,16,46.02272909147831
357,11,May,2018,17,56.401919500396566
358,11,May,2018,18,52.946982754196405
359,11,May,2018,19,46.076870248160844
360,11,May,2018,20,38.37267962326252
361,11,May,2018,21,33.51839497273627
362,11,May,2018,22,30.385747436683555
363,11,May,2018,23,24.35117716860444
364,12,May,2018,0,41.13726350047806
365,12,May,2018,1,36.244066215325304
366,12,May,2018,2,33.52705449452055
367,12,May,2018,3,36.70407412048323
368,12,May,2018,4,35.30746910220375
369,12,May,2018,5,30.042644106387694
370,12,May,2018,6,22.2251857430787
371,12,May,2018,7,23.277116412016916
372,12,May,2018,8,23.848589821198676
373,12,May,2018,9,18.308229753384374
374,12,May,2018,10,16.669682499492914
375,12,May,2018,11,6.349062200556041
376,12,May,2018,12,5.476409085905357
377,12,May,2018,13,7.028394546504693
378,12,May,2018,14,1.0139368270586477
379,12,May,2018,15,2.6408289062999826
380,12,May,2018,16,7.228481359402438
381,12,May,2018,17,16.932973063899215
382,12,May,2018,18,22.884210423488877
383,12,May,2018,19,16.68390937023332
384,12,May,2018,20,51.475118941531385
385,12,May,2018,21,19.461291321199152
386,12,May,2018,22,13.278190454962248
387,12,May,2018,23,28.748183841499642
388,13,May,2018,0,16.00659441318473
389,13,May,2018,1,16.44873003464033
390,13,May,2018,2,14.441986565882058
391,13,May,2018,3,16.238638539084754
392,13,May,2018,4,8.76053362066299
393,13,May,2018,5,12.762799653271681
394,13,May,2018,6,11.301340004148877
395,13,May,2018,7,2.216499999999999
396,13,May,2018,8,8.430995904995912
397,13,May,2018,9,8.72642847683274
398,13,May,2018,10,7.419463293080325
399,13,May,2018,11,7.4674375530545785
400,13,May,2018,12,4.514366767983786
401,13,May,2018,13,3.1040810536980756
402,13,May,2018,14,0.988652482269504
403,13,May,2018,15,0.988652482269504
404,13,May,2018,16,0.988652482269504
405,13,May,2018,17,6.291561573178594
406,13,May,2018,18,12.513669531411143
407,13,May,2018,19,10.31431132245592
408,13,May,2018,20,9.848427926933532
409,13,May,2018,21,16.33440857762923
410,13,May,2018,22,27.424510090928187
411,13,May,2018,23,30.400257650134026
412,14,May,2018,0,32.67075578793277
413,14,May,2018,1,27.211951934260373
414,14,May,2018,2,6.550238768708015
415,14,May,2018,3,10.890291550179473
416,14,May,2018,4,17.577275936200227
417,14,May,2018,5,15.989710936220341
418,14,May,2018,6,6.285245707227828
419,14,May,2018,7,3.902503536818279
420,14,May,2018,8,3.6624641212202116
421,14,May,2018,9,4.553309191642747
422,14,May,2018,10,4.553309191642747
423,14,May,2018,11,3.8406331353047185
424,14,May,2018,12,1.7794990456992141
425,14,May,2018,13,6.702209452939034
426,14,May,2018,14,6.777769957570052
427,14,May,2018,15,15.111156347756541
428,14,May,2018,16,42.47124671832097
429,14,May,2018,17,59.00493882965912
430,14,May,2018,18,58.60122462188149
431,14,May,2018,19,46.9236996153575
432,14,May,2018,20,41.29361095333644
433,14,May,2018,21,34.59142508174136
434,14,May,2018,22,35.461162894965604
435,14,May,2018,23,37.22205545282137
436,15,May,2018,0,19.781569348479096
437,15,May,2018,1,31.841770806206927
438,15,May,2018,2,36.770897084477994
439,15,May,2018,3,22.141714925893194
440,15,May,2018,4,20.507794223364503
441,15,May,2018,5,12.96250055160755
442,15,May,2018,6,5.961368404753749
443,15,May,2018,7,3.8865926493842573
444,15,May,2018,8,0.8224950884086452
445,15,May,2018,9,2.1662334061656536
446,15,May,2018,10,2.8897848080348103
447,15,May,2018,11,2.8897848080348103
448,15,May,2018,12,5.809850229475715
449,15,May,2018,13,11.31843431360694
450,15,May,2018,14,12.532418571974485
451,15,May,2018,15,20.048234570629678
452,15,May,2018,16,39.23598088466512
453,15,May,2018,17,50.89260561576428
454,15,May,2018,18,51.88004972910299
455,15,May,2018,19,39.09220678223876
456,15,May,2018,20,31.590149974830624
457,15,May,2018,21,40.06152628539348
458,15,May,2018,22,33.878906328538775
459,15,May,2018,23,26.077130608968048
460,16,May,2018,0,25.927242914085127
461,16,May,2018,1,21.00781987527776
462,16,May,2018,2,21.83377804675544
463,16,May,2018,3,26.081296441377447
464,16,May,2018,4,27.55737196083864
465,16,May,2018,5,26.00638031774567
466,16,May,2018,6,19.89943514148702
467,16,May,2018,7,12.960364945310072
468,16,May,2018,8,1.2424107142857124
469,16,May,2018,9,1.5305978487886365
470,16,May,2018,10,4.700656328320801
471,16,May,2018,11,4.700656328320801
472,16,May,2018,12,4.486657933107963
473,16,May,2018,13,4.180328522978961
474,16,May,2018,14,9.096861844388828
475,16,May,2018,15,17.33674454670725
476,16,May,2018,16,46.926590698319636
477,16,May,2018,17,62.36941661855334
478,16,May,2018,18,48.04544697900225
479,16,May,2018,19,44.03701505903966
480,16,May,2018,20,37.73403913938277
481,16,May,2018,21,34.32695272345159
482,16,May,2018,22,25.54276403576344
483,16,May,2018,23,27.661828617631087
484,17,May,2018,0,31.354834454436023
485,17,May,2018,1,31.739223080670182
486,17,May,2018,2,32.44746093707542
487,17,May,2018,3,36.874171634066975
488,17,May,2018,4,39.451697464724305
489,17,May,2018,5,27.722856979351896
490,17,May,2018,6,11.077987464294601
491,17,May,2018,7,7.5642506153725035
492,17,May,2018,8,3.1462886597938144
493,17,May,2018,9,1.7042153955147321
494,17,May,2018,10,1.9821327014218029
495,17,May,2018,11,1.9821327014218029
496,17,May,2018,12,2.6793086670870387
497,17,May,2018,13,4.970029697129953
498,17,May,2018,14,5.11329147353678
499,17,May,2018,15,19.817605130698862
500,17,May,2018,16,40.57251571282232
501,17,May,2018,17,59.657839764778124
502,17,May,2018,18,64.0104440000971
503,17,May,2018,19,47.00628113877755
504,17,May,2018,20,37.46702441872359
505,17,May,2018,21,32.43919122652732
506,17,May,2018,22,29.71289607023391
507,17,May,2018,23,25.380320611443377
508,18,May,2018,0,28.372627906634413
509,18,May,2018,1,30.298632893788337
510,18,May,2018,2,27.391906048629277
511,18,May,2018,3,40.50913054312351
512,18,May,2018,4,28.47372036625612
513,18,May,2018,5,27.09994535847223
514,18,May,2018,6,25.552027691886444
515,18,May,2018,7,18.16778585753351
516,18,May,2018,8,11.069911014872545
517,18,May,2018,9,5.142361434829308
518,18,May,2018,10,1.4804601769911498
519,18,May,2018,11,1.4804601769911498
520,18,May,2018,12,1.4804601769911498
521,18,May,2018,13,2.609192571357347
522,18,May,2018,14,5.198727782624951
523,18,May,2018,15,14.238049790163835
524,18,May,2018,16,28.80552641389831
525,18,May,2018,17,50.282939766678986
526,18,May,2018,18,54.36688837638981
527,18,May,2018,19,53.01935125435394
528,18,May,2018,20,45.3631520393931
529,18,May,2018,21,39.786814498016824
530,18,May,2018,22,30.303540465716456
531,18,May,2018,23,27.87738739440717
532,19,May,2018,0,37.33044797680057
533,19,May,2018,1,25.13689188069994
534,19,May,2018,2,25.76712697564754
535,19,May,2018,3,25.5205234791037
536,19,May,2018,4,28.188230559265573
537,19,May,2018,5,36.35483253331805
538,19,May,2018,6,30.313719594510356
539,19,May,2018,7,26.913179320994868
540,19,May,2018,8,24.94184185969456
541,19,May,2018,9,19.924805135304993
542,19,May,2018,10,12.66585190914573
543,19,May,2018,11,11.499804181873001
544,19,May,2018,12,5.644324801172144
545,19,May,2018,13,7.371955593716876
546,19,May,2018,14,6.148647562198046
547,19,May,2018,15,10.57210321121564
548,19,May,2018,16,23.324083417551
549,19,May,2018,17,21.82464333071206
550,19,May,2018,18,18.105427053128405
